
test47,efficia_cm120,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test45,sdfghjk,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test95,sdfghj,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test83,sdfkdfghsdfgxcv,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test36,kjhgfdsdfghjiuytreertikjhgfcxzxcv,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test49,mnhfdsdfhjjh,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
vijay123,sdfghjkl,{}
test27,asdfgh,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test51,dfghjklkjhgfd,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test35,dfghjkl,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test45,fghjkoiuytrfdcvn,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
vijay,thanks
,{"screen_type":"touch screen","acuity":"low acuity","add_ons":"addons null","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
vijay,,{"screen_type":"touch screen","acuity":"low acuity","add_ons":"addons null","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test84,thanks ,{"screen_type":"touch screen","acuity":"mid acuity","add_ons":"addons: spo2","screen_size":"12 inch","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test14,tqs
,{"add_ons":"addons: spo2","screen_size":"12 inch","screen_type":"touch screen","acuity":"mid acuity","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test35,ok,{"add_ons":"addons: spo2","screen_size":"12 inch","screen_type":"touch screen","acuity":"mid acuity","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test70,ok thanks,{"add_ons":"addons: spo2","screen_size":"12 inch","screen_type":"touch screen","acuity":"mid acuity","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
test21,ok thanks,{"add_ons":"addons: spo2","screen_size":"12 inch","screen_type":"touch screen","acuity":"mid acuity","basic_features":" '3- and 5-lead ECG', 'Philips ST analysis', 'Impedance respiration', 'Philips NBP', 'Dual continuous temp'"}
